Min Impurity Decrease,Validation Accuracy,Testing Accuracy
0.8200000000000001,0.9187142857142857,0.9241428571428572
0.8300000000000001,0.9210000000000002,0.9217142857142855
0.84,0.9181428571428573,0.9178571428571428
0.85,0.92,0.9188571428571427
0.86,0.9192857142857142,0.9198571428571428
0.87,0.9211428571428572,0.9128571428571429
0.88,0.9210000000000002,0.9228571428571428
0.89,0.9202857142857143,0.9142857142857143
0.9,0.9150000000000001,0.9177142857142856
0.91,0.9235714285714288,0.9185714285714287
0.92,0.9212857142857143,0.9174285714285716
0.93,0.9162857142857145,0.9135714285714287
0.9400000000000001,0.9205714285714285,0.923
0.9500000000000001,0.9225714285714287,0.9162857142857143
0.96,0.9142857142857141,0.920142857142857
0.97,0.9208571428571429,0.9197142857142858
0.98,0.9195714285714286,0.9192857142857146
0.99,0.9188571428571429,0.9142857142857143
1.0,0.9138571428571429,0.9177142857142858
1.01,0.9164285714285717,0.9197142857142856
1.02,0.9184285714285715,0.9215714285714285
1.03,0.9209999999999999,0.9194285714285714
1.04,0.9224285714285717,0.9201428571428573
1.05,0.9125714285714285,0.9200000000000003
1.06,0.9239999999999999,0.9144285714285713
1.07,0.9195714285714285,0.9171428571428574
1.08,0.923714285714286,0.9224285714285715
1.09,0.9242857142857145,0.9190000000000004
1.1,0.9182857142857143,0.9205714285714285
1.11,0.9174285714285716,0.9167142857142855
1.12,0.9172857142857146,0.9184285714285713
1.1300000000000001,0.920142857142857,0.9258571428571429
1.1400000000000001,0.918,0.920142857142857
1.1500000000000001,0.9151428571428574,0.9278571428571429
1.16,0.916142857142857,0.9238571428571429
1.17,0.9134285714285715,0.9202857142857143
1.18,0.9164285714285713,0.9219999999999999
1.19,0.9242857142857145,0.9148571428571429
1.2,0.9212857142857146,0.9198571428571428
1.21,0.919857142857143,0.9171428571428569
1.22,0.9202857142857143,0.9224285714285715
1.23,0.9145714285714285,0.92
1.24,0.9237142857142858,0.9194285714285716
1.25,0.9202857142857145,0.9192857142857142
1.26,0.9142857142857147,0.9204285714285715
1.27,0.9184285714285713,0.9121428571428573
1.28,0.9148571428571429,0.9208571428571429
1.29,0.920142857142857,0.9219999999999999
1.3,0.9155714285714286,0.9234285714285716
1.31,0.9132857142857144,0.9201428571428573
1.32,0.9147142857142857,0.9231428571428572
1.33,0.9151428571428571,0.9210000000000002
1.34,0.9221428571428573,0.9198571428571428
1.35,0.9155714285714286,0.918142857142857
